idCompte,descriptionCompte,nomBanque,idUtilisateur,dateHeureCreation,dateHeureMAJ,montantInitial,dernierMontantCalculé
1,,LCL,1,2025-06-17 12:39:15,2025-06-17 12:39:15,3987.0,3987.0
2,,Caisse d'épargne,1,2025-06-17 12:39:15,2025-06-17 12:39:15,791.0,791.0
3,,N26,2,2025-06-17 12:39:15,2025-06-17 12:39:15,871.0,871.0
4,,Groupama,2,2025-06-17 12:39:15,2025-06-17 12:39:15,2054.0,2054.0
5,,La Banque Postale,3,2025-06-17 12:39:15,2025-06-17 12:39:15,182.0,182.0
6,,Allianz,3,2025-06-17 12:39:15,2025-06-17 12:39:15,5034.0,5034.0
7,,ING,4,2025-06-17 12:39:15,2025-06-17 12:39:15,8094.0,8094.0
8,,Etoro,4,2025-06-17 12:39:15,2025-06-17 12:39:15,828.0,828.0
9,,B FOR Bank,4,2025-06-17 12:39:15,2025-06-17 12:39:15,777.0,777.0
10,,Crédit Mutuel,5,2025-06-17 12:39:15,2025-06-17 12:39:15,6857.0,6857.0
11,,Fortuneo,5,2025-06-17 12:39:15,2025-06-17 12:39:15,7994.0,7994.0
12,,BNP Paribas,5,2025-06-17 12:39:15,2025-06-17 12:39:15,6163.0,6163.0
13,,Etoro,6,2025-06-17 12:39:15,2025-06-17 12:39:15,9170.0,9170.0
14,,Banque Populaire,6,2025-06-17 12:39:15,2025-06-17 12:39:15,9100.0,9100.0
15,,Lydia,6,2025-06-17 12:39:15,2025-06-17 12:39:15,8723.0,8723.0
16,,HSBC,7,2025-06-17 12:39:15,2025-06-17 12:39:15,8875.0,8875.0
17,,Revolut,8,2025-06-17 12:39:15,2025-06-17 12:39:15,8058.0,8058.0
18,,HSBC,8,2025-06-17 12:39:15,2025-06-17 12:39:15,1569.0,1569.0
19,,Etoro,9,2025-06-17 12:39:15,2025-06-17 12:39:15,2074.0,2074.0
20,,N26,9,2025-06-17 12:39:15,2025-06-17 12:39:15,942.0,942.0
21,,Orange Bank,10,2025-06-17 12:39:15,2025-06-17 12:39:15,2911.0,2911.0
22,,Caisse d'épargne,11,2025-06-17 12:39:15,2025-06-17 12:39:15,7695.0,7695.0
23,,N26,12,2025-06-17 12:39:15,2025-06-17 12:39:15,3027.0,3027.0
24,,Crédit Mutuel,12,2025-06-17 12:39:15,2025-06-17 12:39:15,5319.0,5319.0
25,,Banque Populaire,12,2025-06-17 12:39:15,2025-06-17 12:39:15,8307.0,8307.0
26,,Fortuneo,13,2025-06-17 12:39:15,2025-06-17 12:39:15,9316.0,9316.0
27,,Revolut,13,2025-06-17 12:39:15,2025-06-17 12:39:15,3445.0,3445.0
28,,Groupama,13,2025-06-17 12:39:15,2025-06-17 12:39:15,7206.0,7206.0
29,,AXA Banque,14,2025-06-17 12:39:15,2025-06-17 12:39:15,242.0,242.0
30,,Fortuneo,14,2025-06-17 12:39:15,2025-06-17 12:39:15,84.0,84.0
31,,Caisse d'épargne,15,2025-06-17 12:39:15,2025-06-17 12:39:15,3917.0,3917.0
32,,Revolut,15,2025-06-17 12:39:15,2025-06-17 12:39:15,6235.0,6235.0
