idMouvement,dateMouvement,descriptionCompte,nomBanque,nomTiers,nomCategorie,nomSousCategorie,montant
1376,2022-06-21,Compte 3,Banque C,Entreprise B,Salaire,,2846.98
2337,2022-06-21,Compte 2,Banque A,Orange,Téléphone,,-28.84
2101,2022-06-22,Compte 2,Banque A,Divers,Divers,,-15.01
844,2022-06-22,Compte 1,Banque B,Loyer,Logement,,-705.23
1208,2022-06-22,Compte 1,Banque B,Animalis,Animaux,,-11.83
2797,2022-06-22,Compte 2,Banque A,Allianz,Assurance,,-81.83
1170,2022-06-22,Compte 2,Banque A,CPAM,Remboursement,,95.2
1497,2022-06-22,Compte 2,Banque A,Divers,Divers,,-72.83
2723,2022-06-23,Compte 3,Banque C,Crédit Agricole,Frais bancaires,,-15.38
1188,2022-06-23,Compte 1,Banque B,Lidl,Alimentation,,-152.39
2126,2022-06-23,Compte 1,Banque B,Banque Postale,Frais bancaires,,-3.67
2345,2022-06-23,Compte 2,Banque A,Impôts,Impôts,,-1363.99
2697,2022-06-23,Compte 1,Banque B,Bowling,Loisir,,-69.49
1579,2022-06-24,Compte 3,Banque C,Spotify,Loisir,,-79.43
1982,2022-06-24,Compte 2,Banque A,Loyer,Logement,,-545.58
780,2022-06-24,Compte 3,Banque C,SNCF,Transport,,-9.4
1266,2022-06-24,Compte 3,Banque C,DAB,Retrait,,-147.92
1150,2022-06-25,Compte 3,Banque C,Loyer,Logement,,-575.4
854,2022-06-25,Compte 2,Banque A,DAB,Retrait,,-276.56
2365,2022-06-25,Compte 1,Banque B,Booking,Vacances,,-727.57
305,2022-06-25,Compte 1,Banque B,Orange,Internet,,-49.48
225,2022-06-25,Compte 1,Banque B,Mutuelle,Remboursement,,38.4
2310,2022-06-27,Compte 1,Banque B,Bouygues,Téléphone,,-44.1
2480,2022-06-27,Compte 3,Banque C,SNCF,Transport,,-70.8
758,2022-06-28,Compte 2,Banque A,Zara,Vêtements,,-128.43
993,2022-06-28,Compte 3,Banque C,Amazon,Cadeau,,-198.11
2529,2022-06-28,Compte 3,Banque C,H&M,Vêtements,,-204.55
1458,2022-06-29,Compte 1,Banque B,Amazon,Cadeau,,-83.26
2408,2022-06-30,Compte 1,Banque B,Banque Postale,Frais bancaires,,-4.07
278,2022-06-30,Compte 3,Banque C,CPAM,Remboursement,,31.04
